Fs=100
t,x
5.33,515
5.34,504
5.35,515
5.36,504
5.37,511
5.38,514
5.39,507
5.4,512
5.41,506
5.42,510
5.43,513
5.44,507
5.45,515
5.46,504
5.47,508
5.48,513
5.49,508
5.5,513
5.51,505
5.52,511
5.53,512
5.54,508
5.55,513
5.56,505
5.57,510
5.58,513
5.59,509
5.6,515
5.61,507
5.62,509
5.63,511
5.64,508
5.65,513
5.66,508
5.67,509
5.68,512
5.69,507
5.7,515
5.71,508
5.72,511
5.73,512
5.74,506
5.75,515
5.76,506
5.77,511
5.78,512
5.79,507
5.8,512
5.81,507
5.82,514
5.83,515
5.84,505
5.85,515
5.86,504
5.87,511
5.88,510
5.89,509
5.9,515
5.91,504
5.92,511
5.93,512
5.94,509
5.95,512
5.96,507
5.97,510
5.98,513
5.99,508
6,512
6.01,508
6.02,510
6.03,514
6.04,508
6.05,511
6.06,506
6.07,508
6.08,513
6.09,506
6.1,512
6.11,508
6.12,508
6.13,513
6.14,507
6.15,513
6.16,508
6.17,507
6.18,515
6.19,505
6.2,512
6.21,507
6.22,510
6.23,512
6.24,505
6.25,511
6.26,508
6.27,510
6.28,513
6.29,507
6.3,512
6.31,508
6.32,509
6.33,515
6.34,503
6.35,512
6.36,507
6.37,509
6.38,513
6.39,504
6.4,512
6.41,506
6.42,507
6.43,514
6.44,505
6.45,513
6.46,507
6.47,510
6.48,513
6.49,506
6.5,511
6.51,509
6.52,510
6.53,512
6.54,507
6.55,514
6.56,506
6.57,510
6.58,511
6.59,509
6.6,517
6.61,507
6.62,510
6.63,514
6.64,507
6.65,513
6.66,508
6.67,511
6.68,512
6.69,505
6.7,512
6.71,507
6.72,511
6.73,512
6.74,507
6.75,511
6.76,509
6.77,510
6.78,511
6.79,507
6.8,513
6.81,505
6.82,509
6.83,513
6.84,509
6.85,514
6.86,505
6.87,510
6.88,508
6.89,506
6.9,513
6.91,509
6.92,512
6.93,512
6.94,506
6.95,514
6.96,506
6.97,511
6.98,512
6.99,506
7,514
7.01,507
7.02,511
7.03,508
7.04,508
7.05,514
7.06,504
7.07,514
7.08,509
7.09,508
7.1,513
7.11,505
7.12,514
7.13,510
7.14,508
7.15,515
7.16,507
7.17,512
7.18,510
7.19,505
7.2,512
7.21,507
7.22,512
7.23,509
7.24,506
7.25,515
7.26,509
7.27,511
7.28,510
7.29,508
7.3,511
7.31,507
7.32,512
7.33,508
7.34,507
7.35,515
7.36,508
7.37,511
7.38,508
7.39,506
7.4,515
7.41,507
7.42,512
7.43,510
7.44,509
7.45,512
7.46,508
7.47,513
7.48,508
7.49,508
7.5,512
7.51,508
7.52,513
7.53,509
7.54,506
7.55,510
7.56,508
7.57,512
7.58,512
7.59,508
7.6,515
7.61,507
7.62,511
7.63,510
7.64,507
7.65,513
7.66,505
7.67,511
7.68,511
7.69,505
7.7,512
7.71,505
7.72,512
7.73,511
7.74,505
7.75,512
7.76,507
7.77,512
7.78,511
7.79,505
7.8,514
7.81,508
7.82,509
7.83,512
7.84,508
7.85,514
7.86,507
7.87,513
7.88,510
7.89,505
7.9,515
7.91,505
7.92,512
7.93,510
7.94,509
7.95,513
7.96,506
7.97,511
7.98,513
7.99,506
8,515
8.01,507
8.02,511
8.03,512
8.04,508
8.05,513
8.06,506
8.07,512
8.08,512
8.09,505
8.1,515
8.11,507
8.12,512
8.13,512
8.14,506
8.15,511
8.16,505
8.17,510
8.18,508
8.19,507
8.2,512
8.21,505
8.22,511
8.23,510
8.24,509
8.25,513
8.26,509
8.27,511
8.28,511
8.29,510
8.3,512
8.31,508
8.32,513
8.33,508
8.34,509
8.35,511
8.36,509
8.37,511
8.38,510
8.39,510
8.4,512
8.41,510
8.42,511
8.43,511
8.44,509
8.45,512
8.46,510
8.47,511
8.48,508
8.49,507
8.5,512
8.51,508
8.52,512
8.53,513
8.54,508
8.55,512
8.56,509
8.57,512
8.58,511
8.59,508
8.6,512
8.61,505
8.62,513
8.63,512
8.64,511
8.65,513
8.66,508
8.67,509
8.68,511
8.69,510
8.7,511
8.71,509
8.72,512
8.73,511
8.74,506
8.75,512
8.76,510
8.77,509
8.78,510
8.79,507
8.8,513
8.81,507
8.82,511
8.83,509
8.84,511
8.85,514
8.86,510
8.87,511
8.88,512
8.89,507
8.9,513
8.91,507
8.92,510
8.93,509
8.94,507
8.95,510
8.96,508
8.97,512
8.98,513
8.99,506
9,512
9.01,508
9.02,509
9.03,509
9.04,506
9.05,513
9.06,509
9.07,510
9.08,511
9.09,507
9.1,511
9.11,507
9.12,512
9.13,512
9.14,511
9.15,514
9.16,504
9.17,511
9.18,510
9.19,509
9.2,515
9.21,505
9.22,512
9.23,507
9.24,513
9.25,514
9.26,504
9.27,512
9.28,507
9.29,506
9.3,514
9.31,504
9.32,509
9.33,508
9.34,505
9.35,515
9.36,505
9.37,514
9.38,510
9.39,503
9.4,519
9.41,506
9.42,512
9.43,509
9.44,505
9.45,514
9.46,507
9.47,512
9.48,510
9.49,505
9.5,521
9.51,504
9.52,508
9.53,519
9.54,500
9.55,516
9.56,503
9.57,511
9.58,520
9.59,499
9.6,518
9.61,504
9.62,510
9.63,517
9.64,501
9.65,520
9.66,500
9.67,511
9.68,517
9.69,499
9.7,519
9.71,505
9.72,512
9.73,518
9.74,497
9.75,519
9.76,507
9.77,508
9.78,519
9.79,499
9.8,518
9.81,507
9.82,507
9.83,519
9.84,501
9.85,519
9.86,506
9.87,505
9.88,519
9.89,497
9.9,518
9.91,509
9.92,507
9.93,519
9.94,499
9.95,517
9.96,509
9.97,507
9.98,521
9.99,500
10,515
10.01,510
10.02,510
10.03,520
10.04,503
10.05,515
10.06,507
10.07,507
10.08,522
10.09,500
10.1,515
10.11,509
10.12,510
10.13,519
10.14,499
10.15,516
10.16,510
10.17,508
10.18,519
10.19,497
10.2,516
10.21,509
10.22,511
10.23,520
10.24,500
10.25,518
10.26,504
10.27,508
10.28,521
10.29,500
10.3,515
10.31,508
10.32,508
10.33,519
10.34,502
10.35,515
10.36,510
10.37,509
10.38,519
10.39,499
10.4,517
10.41,507
10.42,506
10.43,522
10.44,503
10.45,516
10.46,508
10.47,504
10.48,519
10.49,501
10.5,515
10.51,510
10.52,507
10.53,522
10.54,502
10.55,513
10.56,511
10.57,506
10.58,520
10.59,500
10.6,515
10.61,509
10.62,509
10.63,520
10.64,504
10.65,514
10.66,508
10.67,509
10.68,519
10.69,501
10.7,513
10.71,508
10.72,506
10.73,512
10.74,511
10.75,509
10.76,510
10.77,507
10.78,513
10.79,508
10.8,512
10.81,508
10.82,510
10.83,515
10.84,507
10.85,509
10.86,511
10.87,507
10.88,514
10.89,507
10.9,511
10.91,509
10.92,507
10.93,515
10.94,506
10.95,511
10.96,510
10.97,505
10.98,514
10.99,506
11,509
11.01,511
11.02,510
11.03,513
11.04,506
11.05,510
11.06,510
11.07,509
11.08,514
11.09,506
11.1,510
11.11,508
11.12,508
11.13,515
11.14,509
11.15,510
11.16,511
11.17,507
11.18,514
11.19,506
11.2,510
11.21,511
11.22,509
11.23,513
11.24,509
11.25,512
11.26,511
11.27,508
11.28,515
11.29,508
11.3,521
11.31,505
11.32,507
11.33,511
11.34,500
11.35,519
11.36,504
11.37,512
11.38,518
11.39,506
11.4,509
11.41,511
11.42,507
11.43,519
11.44,508
11.45,512
11.46,509
11.47,508
11.48,514
11.49,506
11.5,510
11.51,510
11.52,507
11.53,512
11.54,508
11.55,511
11.56,511
11.57,506
11.58,514
11.59,508
11.6,511
11.61,510
