Fs=250
t,x
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7
0.292,4106.127215,-10253.70631,-178083.3889,-178018.5465,6395.012903,90661.29066,18472.04041,35907.11634
0.296,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165538.3605,-154054.5707
0.3,4977.577028,-11523.26304,-176618.6791,-176563.8502,5417.392304,89621.28635,18036.24845,36187.51898
0.304,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165517.9981,-154043.9313
0.308,3883.056805,-10214.41194,-178119.1517,-178103.5054,6514.572384,90737.08543,18461.93742,35864.9833
0.312,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165545.5578,-154060.6951
0.316,3518.946888,-10195.85999,-177994.8983,-178015.6854,6737.97807,90900.92372,18405.00753,35806.89112
0.32,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165506.2858,-154035.3035
0.324,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165574.1233,-154083.4491
0.328,5456.17258,-11556.1201,-176703.1016,-176607.4808,5152.792353,89435.23043,18098.3863,36288.30299
0.332,5331.740419,-11606.81386,-176608.7549,-176521.6948,5188.264571,89443.76879,18050.82179,36248.22631
0.336,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165515.07,-154042.1431
0.34,5163.320024,-11041.87352,-177394.5305,-177272.3335,5489.253162,89812.8408,18314.57237,36195.81147
0.344,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165551.2351,-154071.558
0.348,5327.091256,-11218.42995,-177186.6816,-177062.3835,5346.134942,89665.16282,18252.27806,36242.23605
0.352,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165556.0855,-154079.0458
