Fs=100
t,x
5.33,463
5.34,482
5.35,463
5.36,573
5.37,649
5.38,614
5.39,431
5.4,399
5.41,407
5.42,414
5.43,490
5.44,476
5.45,509
5.46,548
5.47,530
5.48,494
5.49,542
5.5,548
5.51,561
5.52,557
5.53,592
5.54,564
5.55,559
5.56,540
5.57,523
5.58,564
5.59,503
5.6,494
5.61,507
5.62,497
5.63,486
5.64,466
5.65,504
5.66,474
5.67,501
5.68,499
5.69,454
5.7,507
5.71,508
5.72,500
5.73,509
5.74,482
5.75,507
5.76,462
5.77,469
5.78,462
5.79,502
5.8,497
5.81,487
5.82,432
5.83,480
5.84,544
5.85,724
5.86,572
5.87,436
5.88,374
5.89,416
5.9,442
5.91,488
5.92,485
5.93,503
5.94,530
5.95,545
5.96,531
5.97,575
5.98,530
5.99,565
6,547
6.01,565
6.02,584
6.03,580
6.04,562
6.05,556
6.06,534
6.07,503
6.08,508
6.09,493
6.1,451
6.11,496
6.12,482
6.13,464
6.14,468
6.15,472
6.16,481
6.17,496
6.18,492
6.19,492
6.2,445
6.21,488
6.22,504
6.23,509
6.24,443
6.25,499
6.26,458
6.27,467
6.28,477
6.29,491
6.3,495
6.31,449
6.32,451
6.33,544
6.34,707
6.35,657
6.36,520
6.37,368
6.38,366
6.39,434
6.4,461
6.41,463
6.42,504
6.43,486
6.44,522
6.45,547
6.46,538
6.47,532
6.48,533
6.49,546
6.5,595
6.51,555
6.52,580
6.53,571
6.54,546
6.55,540
6.56,498
6.57,521
6.58,491
6.59,482
6.6,489
6.61,490
6.62,507
6.63,486
6.64,459
6.65,486
6.66,471
6.67,458
6.68,498
6.69,456
6.7,505
6.71,521
6.72,478
6.73,472
6.74,469
6.75,463
6.76,460
6.77,484
6.78,491
6.79,481
6.8,444
6.81,492
6.82,604
6.83,655
6.84,588
6.85,409
6.86,396
6.87,412
6.88,468
6.89,434
6.9,544
6.91,532
6.92,528
6.93,505
6.94,551
6.95,546
6.96,532
6.97,585
6.98,572
6.99,559
7,589
7.01,565
7.02,575
7.03,494
7.04,545
7.05,497
7.06,499
7.07,499
7.08,507
7.09,479
7.1,454
7.11,474
7.12,484
7.13,476
7.14,504
7.15,479
7.16,480
7.17,497
7.18,526
7.19,481
7.2,474
7.21,493
7.22,475
7.23,462
7.24,490
7.25,489
7.26,503
7.27,451
7.28,472
7.29,531
7.3,654
7.31,650
7.32,503
7.33,392
7.34,397
7.35,404
7.36,480
7.37,497
7.38,485
7.39,502
7.4,535
7.41,540
7.42,526
7.43,551
7.44,564
7.45,543
7.46,571
7.47,596
7.48,564
7.49,550
7.5,558
7.51,518
7.52,500
7.53,512
7.54,518
7.55,492
7.56,487
7.57,475
7.58,499
7.59,495
7.6,483
7.61,475
7.62,494
7.63,480
7.64,472
7.65,516
7.66,498
7.67,510
7.68,452
7.69,501
7.7,465
7.71,475
7.72,476
7.73,479
7.74,467
7.75,466
7.76,478
7.77,575
7.78,706
7.79,537
7.8,472
7.81,371
7.82,425
7.83,439
7.84,478
7.85,451
7.86,528
7.87,507
7.88,530
7.89,546
7.9,528
7.91,531
7.92,543
7.93,594
7.94,512
7.95,604
7.96,591
7.97,510
7.98,528
7.99,535
8,530
8.01,480
8.02,494
8.03,489
8.04,479
8.05,481
8.06,449
8.07,484
8.08,489
8.09,467
8.1,519
8.11,507
8.12,501
8.13,433
8.14,498
8.15,492
8.16,465
8.17,501
8.18,470
8.19,508
8.2,488
8.21,424
8.22,489
8.23,464
8.24,471
8.25,559
8.26,682
8.27,696
8.28,462
8.29,361
8.3,419
8.31,440
8.32,479
8.33,507
8.34,541
8.35,496
8.36,537
8.37,505
8.38,533
8.39,497
8.4,547
8.41,600
8.42,559
8.43,604
8.44,556
8.45,590
8.46,496
8.47,520
8.48,489
8.49,516
8.5,518
8.51,483
8.52,503
8.53,497
8.54,467
8.55,468
8.56,495
8.57,463
8.58,531
8.59,471
