Fs=1000
t,x
0.531,524
0.532,525
0.533,523
0.534,518
0.535,515
0.536,510
0.537,499
0.538,493
0.539,487
0.540,486
0.541,492
0.542,497
0.543,500
0.544,508
0.545,515
0.546,520
0.547,523
0.548,525
0.549,524
0.550,519
0.551,515
0.552,511
0.553,502
0.554,494
0.555,487
0.556,478
0.557,478
0.558,481
0.559,485
0.560,492
0.561,500
0.562,507
0.563,509
0.564,513
0.565,516
0.566,514
0.567,511
0.568,510
0.569,507
0.570,502
0.571,501
0.572,504
0.573,508
0.574,521
0.575,536
0.576,550
0.577,568
0.578,584
0.579,597
0.580,609
0.581,622
0.582,632
0.583,635
0.584,639
0.585,646
0.586,647
0.587,647
0.588,648
0.589,649
0.590,654
0.591,659
0.592,660
0.593,659
0.594,659
0.595,659
0.596,655
0.597,650
0.598,645
0.599,635
0.600,620
0.601,605
0.602,589
0.603,567
0.604,547
0.605,530
0.606,513
0.607,504
0.608,500
0.609,496
0.610,497
0.611,498
0.612,496
0.613,493
0.614,492
0.615,489
0.616,483
0.617,473
0.618,467
0.619,457
0.620,443
0.621,432
0.622,423
0.623,419
0.624,421
0.625,427
0.626,433
0.627,443
0.628,454
0.629,462
0.630,468
0.631,476
0.632,479
0.633,476
0.634,474
0.635,473
0.636,466
0.637,458
0.638,452
0.639,448
0.640,452
0.641,460
0.642,466
0.643,472
0.644,478
0.645,483
0.646,488
0.647,495
0.648,501
0.649,504
0.650,502
0.651,502
0.652,500
0.653,489
0.654,482
0.655,476
0.656,472
0.657,473
0.658,478
0.659,482
0.660,490
0.661,499
0.662,506
0.663,509
0.664,514
0.665,518
0.666,519
0.667,515
0.668,513
0.669,507
0.670,496
0.671,489
0.672,483
0.673,479
0.674,482
0.675,488
0.676,494
0.677,502
0.678,511
0.679,518
0.680,522
0.681,527
0.682,528
0.683,525
0.684,520
0.685,518
0.686,509
0.687,501
0.688,496
0.689,489
0.690,488
0.691,492
0.692,496
0.693,503
0.694,512
0.695,521
0.696,527
0.697,534
0.698,537
0.699,539
0.700,534
0.701,532
0.702,529
0.703,519
0.704,512
0.705,506
0.706,502
0.707,503
0.708,508
0.709,512
0.710,517
0.711,524
0.712,528
0.713,531
0.714,534
0.715,536
0.716,535
0.717,531
0.718,529
0.719,522
0.720,511
0.721,505
0.722,498
0.723,496
0.724,500
0.725,505
0.726,511
0.727,519
0.728,529
0.729,535
0.730,540
0.731,545
0.732,546
0.733,543
0.734,543
0.735,542
0.736,531
0.737,518
0.738,509
0.739,499
0.740,499
0.741,504
0.742,508
0.743,515
0.744,526
0.745,533
0.746,537
0.747,544
0.748,549
0.749,550
0.750,546
0.751,545
0.752,539
0.753,527
0.754,519
0.755,512
0.756,507
0.757,510
0.758,517
0.759,523
0.760,531
0.761,540
0.762,547
0.763,550
0.764,555
0.765,557
0.766,556
0.767,553
0.768,553
0.769,546
0.770,537
0.771,530
0.772,523
0.773,519
0.774,523
0.775,527
0.776,534
0.777,542
0.778,551
0.779,554
0.780,560
0.781,565
0.782,568
0.783,563
0.784,561
0.785,558
0.786,548
0.787,539
0.788,534
0.789,531
0.790,532
0.791,539
0.792,543
0.793,550
0.794,556
0.795,563
0.796,566
0.797,571
0.798,574
0.799,575
0.800,572
0.801,571
0.802,567
0.803,559
0.804,553
0.805,547
0.806,542
0.807,543
0.808,548
0.809,554
0.810,561
0.811,570
0.812,573
0.813,575
0.814,577
0.815,577
0.816,574
0.817,569
0.818,567
0.819,560
0.820,550
0.821,542
0.822,533
0.823,531
0.824,535
0.825,539
0.826,545
0.827,551
0.828,558
0.829,561
0.830,567
0.831,571
0.832,572
0.833,566
0.834,562
0.835,557
0.836,545
0.837,536
0.838,527
0.839,519
0.840,519
0.841,523
0.842,524
0.843,527
0.844,533
0.845,537
0.846,538
0.847,539
0.848,538
0.849,534
0.850,527
0.851,524
0.852,516
0.853,504
