Fs=100
t,x
5.33,490
5.34,492
5.35,495
5.36,494
5.37,496
5.38,496
5.39,499
5.4,499
5.41,499
5.42,501
5.43,500
5.44,502
5.45,504
5.46,503
5.47,506
5.48,503
5.49,505
5.5,508
5.51,506
5.52,506
5.53,504
5.54,505
5.55,508
5.56,507
5.57,508
5.58,507
5.59,507
5.6,509
5.61,506
5.62,508
5.63,506
5.64,507
5.65,510
5.66,508
5.67,508
5.68,506
5.69,506
5.7,508
5.71,507
5.72,508
5.73,506
5.74,508
5.75,508
5.76,506
5.77,508
5.78,506
5.79,508
5.8,511
5.81,512
5.82,515
5.83,515
5.84,515
5.85,514
5.86,509
5.87,504
5.88,499
5.89,501
5.9,503
5.91,502
5.92,504
5.93,503
5.94,504
5.95,505
5.96,500
5.97,490
5.98,524
5.99,572
6,583
6.01,524
6.02,468
6.03,470
6.04,491
6.05,495
6.06,494
6.07,497
6.08,498
6.09,501
6.1,502
6.11,503
6.12,506
6.13,505
6.14,506
6.15,510
6.16,508
6.17,510
6.18,510
6.19,513
6.2,514
6.21,513
6.22,516
6.23,519
6.24,518
6.25,515
6.26,509
6.27,507
6.28,496
6.29,491
6.3,489
6.31,487
6.32,490
6.33,491
6.34,495
6.35,495
6.36,494
6.37,496
6.38,497
6.39,500
6.4,501
6.41,502
6.42,503
6.43,502
6.44,503
6.45,504
6.46,503
6.47,505
6.48,503
6.49,504
6.5,506
6.51,504
6.52,505
6.53,507
6.54,506
6.55,507
6.56,506
6.57,507
6.58,506
6.59,507
6.6,507
6.61,504
6.62,507
6.63,506
6.64,507
6.65,508
6.66,506
6.67,506
6.68,504
6.69,507
6.7,508
6.71,505
6.72,507
6.73,505
6.74,508
6.75,510
6.76,507
6.77,507
6.78,506
6.79,506
6.8,510
6.81,512
6.82,515
6.83,514
6.84,513
6.85,512
6.86,505
6.87,503
6.88,500
6.89,503
6.9,505
6.91,501
6.92,504
6.93,502
6.94,504
6.95,505
6.96,496
6.97,502
6.98,545
6.99,588
7,563
7.01,502
7.02,459
7.03,481
7.04,491
7.05,496
7.06,494
7.07,498
7.08,498
7.09,500
7.1,503
7.11,503
7.12,505
7.13,507
7.14,509
7.15,511
7.16,510
7.17,513
7.18,512
7.19,513
7.2,514
7.21,515
7.22,519
7.23,519
7.24,518
7.25,513
7.26,508
7.27,504
7.28,492
7.29,488
7.3,488
7.31,487
7.32,489
7.33,492
7.34,494
7.35,495
7.36,495
7.37,496
7.38,498
7.39,500
7.4,503
7.41,502
7.42,504
7.43,502
7.44,503
7.45,505
7.46,502
7.47,504
7.48,504
7.49,506
7.5,507
7.51,506
7.52,507
7.53,506
7.54,508
7.55,509
7.56,505
7.57,507
7.58,505
7.59,505
7.6,508
7.61,504
7.62,505
7.63,505
7.64,507
7.65,508
7.66,505
7.67,507
7.68,507
7.69,507
7.7,509
7.71,506
7.72,507
7.73,506
7.74,505
7.75,507
7.76,505
7.77,508
7.78,505
7.79,508
7.8,514
7.81,514
7.82,517
7.83,515
7.84,512
7.85,511
7.86,504
7.87,500
7.88,500
7.89,502
7.9,504
7.91,502
7.92,503
7.93,503
7.94,504
7.95,506
7.96,491
7.97,519
7.98,563
7.99,588
8,539
8.01,477
8.02,464
8.03,488
8.04,494
8.05,496
8.06,496
8.07,498
8.08,500
8.09,502
8.1,504
8.11,504
8.12,507
8.13,507
8.14,508
8.15,511
8.16,510
8.17,512
8.18,512
8.19,514
8.2,515
8.21,514
8.22,518
8.23,519
8.24,515
8.25,512
8.26,505
8.27,500
8.28,491
8.29,489
8.3,488
8.31,487
8.32,489
8.33,491
8.34,494
8.35,497
8.36,495
8.37,498
8.38,497
8.39,499
8.4,501
8.41,501
8.42,503
8.43,503
8.44,504
8.45,504
8.46,504
8.47,504
8.48,505
8.49,506
8.5,508
8.51,504
8.52,506
8.53,505
8.54,507
8.55,508
8.56,506
8.57,508
8.58,507
8.59,508
8.6,508
8.61,505
8.62,506
8.63,505
8.64,505
8.65,508
8.66,507
8.67,508
8.68,506
8.69,507
8.7,509
8.71,506
8.72,508
8.73,508
8.74,507
8.75,508
8.76,506
8.77,508
8.78,507
8.79,510
8.8,515
8.81,515
8.82,516
8.83,513
8.84,512
8.85,509
8.86,500
8.87,501
8.88,500
8.89,500
8.9,504
8.91,500
8.92,503
8.93,502
8.94,503
8.95,498
8.96,491
8.97,535
8.98,578
8.99,572
9,513
9.01,457
9.02,477
9.03,489
9.04,493
9.05,496
9.06,496
9.07,500
9.08,500
9.09,502
9.1,504
9.11,504
9.12,508
9.13,507
9.14,510
9.15,511
9.16,511
9.17,513
9.18,512
9.19,515
9.2,516
9.21,516
9.22,519
9.23,516
9.24,512
9.25,511
9.26,504
9.27,498
9.28,490
9.29,487
9.3,489
9.31,488
9.32,493
9.33,492
9.34,496
9.35,498
9.36,496
9.37,499
9.38,497
9.39,499
9.4,502
9.41,500
9.42,502
9.43,503
9.44,503
9.45,504
9.46,503
9.47,505
9.48,504
9.49,507
9.5,508
9.51,504
9.52,506
9.53,506
9.54,507
9.55,507
9.56,505
9.57,508
9.58,505
9.59,507
9.6,509
9.61,507
9.62,508
9.63,507
9.64,507
9.65,509
9.66,506
9.67,507
9.68,505
9.69,505
9.7,507
9.71,506
9.72,507
9.73,507
9.74,506
9.75,508
9.76,506
9.77,508
9.78,507
9.79,512
9.8,516
9.81,515
9.82,516
9.83,513
9.84,509
9.85,506
9.86,500
9.87,502
9.88,501
9.89,504
9.9,504
9.91,502
9.92,504
9.93,503
9.94,505
9.95,496
9.96,508
9.97,555
9.98,589
9.99,550
10,492
10.01,462
10.02,486
10.03,491
10.04,495
10.05,499
10.06,496
10.07,499
10.08,500
10.09,504
10.1,505
10.11,505
10.12,507
10.13,510
10.14,510
10.15,513
10.16,511
10.17,512
10.18,511
10.19,513
10.2,516
10.21,517
10.22,519
10.23,516
10.24,512
10.25,509
10.26,503
10.27,493
10.28,487
10.29,487
10.3,488
10.31,489
10.32,491
10.33,494
10.34,496
10.35,497
10.36,496
10.37,498
10.38,498
10.39,499
10.4,501
10.41,500
10.42,502
10.43,501
10.44,503
10.45,504
10.46,504
10.47,505
10.48,505
10.49,505
10.5,508
10.51,505
10.52,506
10.53,506
10.54,507
10.55,508
10.56,505
10.57,507
10.58,506
10.59,507
10.6,508
10.61,505
10.62,506
10.63,506
10.64,508
10.65,507
10.66,507
10.67,508
10.68,507
10.69,507
10.7,508
10.71,505
10.72,508
10.73,508
10.74,508
10.75,508
10.76,507
10.77,507
10.78,508
10.79,512
10.8,515
10.81,515
10.82,515
10.83,512
10.84,509
10.85,504
10.86,499
10.87,501
10.88,501
10.89,502
10.9,504
10.91,502
10.92,503
10.93,504
10.94,503
10.95,491
10.96,522
10.97,566
10.98,584
10.99,532
11,473
11.01,467
11.02,489
11.03,492
11.04,495
11.05,497
11.06,496
11.07,501
11.08,502
11.09,503
11.1,508
11.11,507
11.12,509
11.13,508
11.14,511
11.15,511
11.16,510
11.17,512
11.18,512
11.19,513
11.2,518
11.21,518
11.22,519
11.23,514
11.24,512
11.25,508
11.26,499
11.27,491
11.28,487
11.29,487
11.3,491
11.31,491
11.32,492
11.33,493
11.34,496
11.35,497
11.36,497
11.37,500
11.38,500
11.39,501
11.4,502
11.41,501
11.42,504
11.43,504
11.44,504
11.45,506
11.46,505
11.47,506
11.48,505
11.49,505
11.5,506
11.51,505
11.52,506
11.53,504
11.54,505
11.55,508
11.56,506
11.57,508
11.58,508
11.59,508
11.6,509
11.61,507
11.62,508
11.63,507
11.64,509
11.65,509
11.66,508
11.67,507
11.68,507
11.69,507
11.7,508
11.71,506
11.72,507
11.73,506
11.74,508
11.75,509
11.76,506
11.77,507
11.78,508
11.79,512
11.8,516
11.81,515
11.82,513
11.83,510
11.84,507
11.85,503
11.86,500
11.87,501
11.88,502
11.89,503
11.9,504
11.91,503
11.92,504
11.93,504
11.94,498
11.95,498
11.96,540
11.97,584
11.98,566
11.99,508
12,460
12.01,480
12.02,492
12.03,494
12.04,495
12.05,497
12.06,497
12.07,500
